dup_group,directory,filename_min,filename_max,modified_time_mean,file_count
photo/2013/6. Juli/Islandphoto/mettesvita131213/Island2013,photo/mettesvita131213/Island2013,Island2013 625.jpg,Island2013 827.jpg,2013-08-03 08:59:12.892038,661
photo/2013/6. Juli/Islandphoto/mettesvita131213/Island2013,photo/2013/6. Juli/Island,IMG_2044.JPG,IMG_2248.JPG,2013-07-09 12:32:43.591528,661
photo/mettesvita131213/Island2013photo/2013/6. Juli/Island,photo/2013/6. Juli/Island,IMG_1415.JPG,IMG_2004.JPG,2013-07-09 07:53:22.373041,638
photo/mettesvita131213/Island2013photo/2013/6. Juli/Island,photo/mettesvita131213/Island2013,Island2013 004.jpg,Island2013 586.jpg,2013-08-03 08:57:44.791002,638
photo/AlexandrasPC2013/1.Foto/19.Juli 2011/Gotland 2010photo/bilder2010-2011/19.Juli 2011/Gotland 2010,photo/bilder2010-2011/19.Juli 2011/Gotland 2010,IMG_8598.JPG,IMG_8983.JPG,2011-07-17 00:39:50.039501,481
photo/AlexandrasPC2013/1.Foto/19.Juli 2011/Gotland 2010photo/bilder2010-2011/19.Juli 2011/Gotland 2010,photo/AlexandrasPC2013/1.Foto/19.Juli 2011/Gotland 2010,IMG_8598.JPG,IMG_8983.JPG,2011-07-17 00:39:50.049176,481
photo/bilder2010-2011/19.Juli 2011/Gotland 2010photo/AlexandrasPC2013/1.Foto/19.Juli 2011/Gotland 2010,photo/AlexandrasPC2013/1.Foto/19.Juli 2011/Gotland 2010,IMG_9189.JPG,IMG_8529.JPG,2011-07-16 21:59:55.017755,456
photo/bilder2010-2011/19.Juli 2011/Gotland 2010photo/AlexandrasPC2013/1.Foto/19.Juli 2011/Gotland 2010,photo/bilder2010-2011/19.Juli 2011/Gotland 2010,IMG_9189.JPG,IMG_8529.JPG,2011-07-16 21:59:55.010965,456
photo/AlexandrasPC2013/1.Foto/2.Januari och Februari 2010/4 Febphoto/bilder2010-2011/2.Januari och Februari 2010/4 Feb,photo/AlexandrasPC2013/1.Foto/2.Januari och Februari 2010/4 Feb,IMG_2149.JPG,IMG_2648.JPG,2009-10-10 20:33:38.866696,437
photo/AlexandrasPC2013/1.Foto/2.Januari och Februari 2010/4 Febphoto/bilder2010-2011/2.Januari och Februari 2010/4 Feb,photo/bilder2010-2011/2.Januari och Februari 2010/4 Feb,IMG_2149.JPG,IMG_2648.JPG,2009-10-10 20:33:38.748284,437
photo/AlexandrasPC2013/1.Foto/12.December 2010/15-22 Dec. Canariaphoto/bilder2010-2011/12.December 2010/15-22 Dec. Canaria,photo/bilder2010-2011/12.December 2010/15-22 Dec. Canaria,IMG_1015.JPG,canaria 120.jpg,2010-12-18 18:07:03.112644,435
photo/AlexandrasPC2013/1.Foto/12.December 2010/15-22 Dec. Canariaphoto/bilder2010-2011/12.December 2010/15-22 Dec. Canaria,photo/AlexandrasPC2013/1.Foto/12.December 2010/15-22 Dec. Canaria,IMG_1015.JPG,canaria 120.jpg,2010-12-18 18:07:03.128191,435
photo/bilder2010-2011/2.Januari och Februari 2010/4 Febphoto/AlexandrasPC2013/1.Foto/2.Januari och Februari 2010/4 Feb,photo/bilder2010-2011/2.Januari och Februari 2010/4 Feb,IMG_3130.JPG,IMG_3124.JPG,2009-09-29 08:35:32.183099,426
photo/bilder2010-2011/2.Januari och Februari 2010/4 Febphoto/AlexandrasPC2013/1.Foto/2.Januari och Februari 2010/4 Feb,photo/AlexandrasPC2013/1.Foto/2.Januari och Februari 2010/4 Feb,IMG_3130.JPG,IMG_3124.JPG,2009-09-29 08:35:32.271704,426
photo/2012/32.Juli 2012/Cypern  2012photo/2012/31.Juni 2012/Cypern  2012,photo/2012/31.Juni 2012/Cypern  2012,IMG_0960.JPG,IMG_1293.JPG,2012-07-04 19:48:34.847880,401
photo/2012/32.Juli 2012/Cypern  2012photo/2012/31.Juni 2012/Cypern  2012,photo/2012/32.Juli 2012/Cypern  2012,IMG_0960.JPG,IMG_1293.JPG,2012-07-04 19:48:34.847880,401
photo/2012/31.Juni 2012/Cypern  2012photo/2012/32.Juli 2012/Cypern  2012,photo/2012/31.Juni 2012/Cypern  2012,IMG_0883.JPG,IMG_1151.JPG,2012-07-04 15:16:01.485714,385
photo/2012/31.Juni 2012/Cypern  2012photo/2012/32.Juli 2012/Cypern  2012,photo/2012/32.Juli 2012/Cypern  2012,IMG_0883.JPG,IMG_1151.JPG,2012-07-04 15:16:01.485714,385
photo/bilder2010-2011/12.December 2010/15-22 Dec. Canariaphoto/AlexandrasPC2013/1.Foto/12.December 2010/15-22 Dec. Canaria,photo/AlexandrasPC2013/1.Foto/12.December 2010/15-22 Dec. Canaria,IMG_0913.JPG,IMG_1049.JPG,2010-12-19 03:18:42.964835,382
photo/bilder2010-2011/12.December 2010/15-22 Dec. Canariaphoto/AlexandrasPC2013/1.Foto/12.December 2010/15-22 Dec. Canaria,photo/bilder2010-2011/12.December 2010/15-22 Dec. Canaria,IMG_0913.JPG,IMG_1049.JPG,2010-12-19 03:18:42.934555,382
photo/mettesvita131213/2010-10-11 001photo/bilder2010-2011/2010-10-11 001,photo/bilder2010-2011/2010-10-11 001,IMG_3616.JPG,IMG_3718.JPG,2010-08-18 14:36:50.539971,274
photo/mettesvita131213/2010-10-11 001photo/bilder2010-2011/2010-10-11 001,photo/mettesvita131213/2010-10-11 001,IMG_3616.JPG,IMG_3718.JPG,2010-08-18 14:36:50.539971,274
photo/usa2015/gopro/150705-18/102GOPROphoto/USB Copy_2018-07-13_212006/DCIM/102GOPRO,photo/usa2015/gopro/150705-18/102GOPRO,GOPR3843.JPG,GOPR4157.JPG,2015-07-14 10:16:39.624060,266
photo/usa2015/gopro/150705-18/102GOPROphoto/USB Copy_2018-07-13_212006/DCIM/102GOPRO,photo/USB Copy_2018-07-13_212006/DCIM/102GOPRO,GOPR3843.JPG,GOPR4157.JPG,2015-07-14 11:16:39.624060,266
photo/USB Copy_2018-07-13_212006/DCIM/102GOPROphoto/usa2015/gopro/150705-18/102GOPRO,photo/USB Copy_2018-07-13_212006/DCIM/102GOPRO,GOPR4145.JPG,GOPR3659.JPG,2015-07-14 18:10:35.770751,253
photo/USB Copy_2018-07-13_212006/DCIM/102GOPROphoto/usa2015/gopro/150705-18/102GOPRO,photo/usa2015/gopro/150705-18/102GOPRO,GOPR4145.JPG,GOPR3659.JPG,2015-07-14 17:10:35.770751,253
photo/bilder2010-2011/Hösten 2011photo/mettesvita131213/D/Mina bilder/Hösten 2011,photo/bilder2010-2011/Hösten 2011,Hösten 2011 249.jpg,Hösten 2011 265.jpg,2011-10-09 17:34:57.761062,251
photo/bilder2010-2011/Hösten 2011photo/mettesvita131213/D/Mina bilder/Hösten 2011,photo/mettesvita131213/D/Mina bilder/Hösten 2011,Hösten 2011 249.jpg,Hösten 2011 265.jpg,2011-10-09 17:34:57.761062,251
photo/bilder2010-2011/2010-10-11 001photo/mettesvita131213/2010-10-11 001,photo/bilder2010-2011/2010-10-11 001,IMG_3842.JPG,IMG_7373.JPG,2010-08-20 05:44:48.232000,250
photo/bilder2010-2011/2010-10-11 001photo/mettesvita131213/2010-10-11 001,photo/mettesvita131213/2010-10-11 001,IMG_3842.JPG,IMG_7373.JPG,2010-08-20 05:44:48.232000,250
photo/mettesvita131213/D/Mina bilder/Hösten 2011photo/bilder2010-2011/Hösten 2011,photo/bilder2010-2011/Hösten 2011,Hösten 2011 233.jpg,Hösten 2011 307.jpg,2011-10-09 17:34:45.069006,243
photo/mettesvita131213/D/Mina bilder/Hösten 2011photo/bilder2010-2011/Hösten 2011,photo/mettesvita131213/D/Mina bilder/Hösten 2011,Hösten 2011 233.jpg,Hösten 2011 307.jpg,2011-10-09 17:34:45.069006,243
photo/bilder2010-2011/12.December 2010/31 Dec Nyårshoppetphoto/AlexandrasPC2013/1.Foto/12.December 2010/31 Dec Nyårshoppet,photo/bilder2010-2011/12.December 2010/31 Dec Nyårshoppet,IMG_1798.JPG,IMG_1887.JPG,2010-12-31 21:32:25.861905,210
photo/bilder2010-2011/12.December 2010/31 Dec Nyårshoppetphoto/AlexandrasPC2013/1.Foto/12.December 2010/31 Dec Nyårshoppet,photo/AlexandrasPC2013/1.Foto/12.December 2010/31 Dec Nyårshoppet,IMG_1798.JPG,IMG_1887.JPG,2010-12-31 21:32:25.924319,210
